Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Morocco,B,13,FW,Khalid Boutaïb,24/04/1987,31,17,7,Yeni Malatyaspor,1
Morocco,B,14,MF,Mbark Boussoufa,15/08/1984,33,58,7,Al-Jazira,1
Morocco,B,15,MF,Youssef Aït Bennasser,07/07/1996,21,13,0,Caen,1
Morocco,B,16,MF,Nordin Amrabat,31/03/1987,31,43,4,Leganés,1
Morocco,B,17,DF,Nabil Dirar,25/02/1986,32,34,3,Fenerbahçe,1
Morocco,B,18,MF,Amine Harit,18/06/1997,20,5,0,Schalke 04,1
Morocco,B,19,FW,Youssef En-Nesyri,01/06/1997,21,15,1,Málaga,1
Morocco,B,20,FW,Aziz Bouhaddouz,30/03/1987,31,14,3,FC St. Pauli,1
Morocco,B,21,MF,Sofyan Amrabat,21/08/1996,21,5,0,Feyenoord,1
Morocco,B,22,GK,Ahmed Reda Tagnaouti,05/04/1996,22,2,0,IR Tanger,1
Morocco,B,23,MF,Mehdi Carcela,01/07/1989,28,20,1,Standard Liège,1
Portugal,B,1,GK,Rui Patrício,15/02/1988,30,68,0,Sporting CP,1
Portugal,B,2,DF,Bruno Alves,27/11/1981,36,95,11,Rangers,1
Portugal,B,3,DF,Pepe,26/02/1983,35,94,5,Beşiktaş,1
Portugal,B,4,MF,Manuel Fernandes,05/02/1986,32,14,3,Lokomotiv Moscow,1
Portugal,B,5,DF,Raphaël Guerreiro,22/12/1993,24,23,2,Borussia Dortmund,1
Portugal,B,6,DF,José Fonte,22/12/1983,34,30,0,Dalian Yifang,1
Portugal,B,7,FW,Cristiano Ronaldo (captain),05/02/1985,33,149,81,Real Madrid,1
Portugal,B,8,MF,João Moutinho,08/09/1986,31,109,7,Monaco,1
Portugal,B,9,FW,André Silva,06/11/1995,22,22,12,Milan,1
Portugal,B,10,MF,João Mário,19/01/1993,25,35,2,West Ham United,1
Portugal,B,11,MF,Bernardo Silva,10/08/1994,23,24,2,Manchester City,1
Portugal,B,12,GK,Anthony Lopes,01/10/1990,27,7,0,Lyon,1
Portugal,B,13,DF,Rúben Dias,14/05/1997,21,1,0,Benfica,1
Portugal,B,14,MF,William Carvalho,07/04/1992,26,42,2,Sporting CP,1
Portugal,B,15,DF,Ricardo Pereira,06/10/1993,24,4,0,Porto,1
Portugal,B,16,MF,Bruno Fernandes,08/09/1994,23,5,0,Sporting CP,1
Portugal,B,17,FW,Gonçalo Guedes,29/11/1996,21,9,1,Valencia,1
Portugal,B,18,FW,Gelson Martins,11/05/1995,23,18,0,Sporting CP,1
Portugal,B,19,DF,Mário Rui,27/05/1991,27,3,0,Napoli,1
Portugal,B,20,FW,Ricardo Quaresma,26/09/1983,34,76,9,Beşiktaş,1
Portugal,B,21,DF,Cédric,31/08/1991,26,28,1,Southampton,1
Portugal,B,22,GK,Beto,01/05/1982,36,14,0,Göztepe,1
Portugal,B,23,MF,Adrien Silva,15/03/1989,29,22,1,Leicester City,1
Spain,B,1,GK,David de Gea,07/11/1990,27,28,0,Manchester United,1
Spain,B,2,DF,Dani Carvajal,11/01/1992,26,15,0,Real Madrid,1
Spain,B,3,DF,Gerard Piqué,02/02/1987,31,97,5,Barcelona,1
Spain,B,4,DF,Nacho,18/01/1990,28,16,0,Real Madrid,1
Spain,B,5,MF,Sergio Busquets,16/07/1988,29,102,2,Barcelona,1
Spain,B,6,MF,Andrés Iniesta,11/05/1984,34,126,14,Barcelona,1
Spain,B,7,MF,Saúl,21/11/1994,23,10,0,Atlético Madrid,1
Spain,B,8,MF,Koke,08/01/1992,26,39,0,Atlético Madrid,1
Spain,B,9,FW,Rodrigo,06/03/1991,27,5,2,Valencia,1
Spain,B,10,MF,Thiago,11/04/1991,27,28,2,Bayern Munich,1
Spain,B,11,FW,Lucas Vázquez,01/07/1991,26,6,0,Real Madrid,1
Spain,B,12,DF,Álvaro Odriozola,14/12/1995,22,3,1,Real Sociedad,1
Spain,B,13,GK,Kepa Arrizabalaga,03/10/1994,23,1,0,Athletic Bilbao,1
Spain,B,14,DF,César Azpilicueta,28/08/1989,28,22,0,Chelsea,1
Spain,B,15,DF,Sergio Ramos (captain),30/03/1986,32,151,13,Real Madrid,1
Spain,B,16,DF,Nacho Monreal,26/02/1986,32,22,1,Arsenal,1
Spain,B,17,FW,Iago Aspas,01/08/1987,30,9,4,Celta Vigo,1
Spain,B,18,DF,Jordi Alba,21/03/1989,29,61,8,Barcelona,1
Spain,B,19,FW,Diego Costa,07/10/1988,29,19,7,Atlético Madrid,1
Spain,B,20,MF,Marco Asensio,21/01/1996,22,11,0,Real Madrid,1
Spain,B,21,FW,David Silva,08/01/1986,32,120,35,Manchester City,1
Spain,B,22,MF,Isco,21/04/1992,26,27,10,Real Madrid,1
Spain,B,23,GK,Pepe Reina,31/08/1982,35,36,0,Napoli,1
Australia,C,1,GK,Mathew Ryan,08/04/1992,26,43,0,Brighton & Hove Albion,1
Australia,C,2,DF,Milos Degenek,28/04/1994,24,18,0,Yokohama F. Marinos,1
Australia,C,3,DF,James Meredith,05/04/1988,30,2,0,Millwall,1
Australia,C,4,FW,Tim Cahill,06/12/1979,38,105,50,Millwall,1
Australia,C,5,DF,Mark Milligan,04/08/1985,32,70,6,Al-Ahli,1
Australia,C,6,DF,Matthew Jurman,08/12/1989,28,4,0,Suwon Samsung Bluewings,1
Australia,C,7,FW,Mathew Leckie,04/02/1991,27,52,8,Hertha BSC,1
Australia,C,8,MF,Massimo Luongo,25/09/1992,25,35,5,Queens Park Rangers,1
Australia,C,9,FW,Tomi Juric,22/07/1991,26,34,8,Luzern,1
Australia,C,10,FW,Robbie Kruse,05/10/1988,29,63,5,VfL Bochum,1
Australia,C,11,FW,Andrew Nabbout,17/12/1992,25,3,1,Urawa Red Diamonds,1
Australia,C,12,GK,Brad Jones,19/03/1982,36,5,0,Feyenoord,1
Australia,C,13,MF,Aaron Mooy,15/09/1990,27,33,5,Huddersfield Town,1
Australia,C,14,FW,Jamie Maclaren,29/07/1993,24,6,0,Hibernian,1
Australia,C,15,MF,Mile Jedinak (captain),03/08/1984,33,75,18,Aston Villa,1
Australia,C,16,DF,Aziz Behich,16/12/1990,27,22,2,Bursaspor,1
Australia,C,17,FW,Daniel Arzani,04/01/1999,19,1,0,Melbourne City,1
Australia,C,18,GK,Danny Vukovic,27/03/1985,33,1,0,Genk,1
Australia,C,19,DF,Josh Risdon,27/07/1992,25,7,0,Western Sydney Wanderers,1
Australia,C,20,DF,Trent Sainsbury,05/01/1992,26,34,3,Grasshoppers,1
Australia,C,21,FW,Dimitri Petratos,10/11/1992,25,2,0,Newcastle Jets,1
Australia,C,22,MF,Jackson Irvine,07/03/1993,25,18,2,Hull City,1
Australia,C,23,MF,Tom Rogic,16/12/1992,25,36,7,Celtic,1
Denmark,C,1,GK,Kasper Schmeichel,05/11/1986,31,34,0,Leicester City,1
Denmark,C,2,MF,Michael Krohn-Dehli,06/06/1983,34,58,6,Deportivo La Coruña,1
Denmark,C,3,DF,Jannik Vestergaard,03/08/1992,25,16,1,Borussia Mönchengladbach,1
Denmark,C,4,DF,Simon Kjær (captain),26/03/1989,29,77,3,Sevilla,1
Denmark,C,5,DF,Jonas Knudsen,16/09/1992,25,3,0,Ipswich Town,1
Denmark,C,6,DF,Andreas Christensen,10/04/1996,22,15,1,Chelsea,1
Denmark,C,7,MF,William Kvist,24/02/1985,33,79,2,Copenhagen,1
Denmark,C,8,MF,Thomas Delaney,03/09/1991,26,26,4,Werder Bremen,1
Denmark,C,9,FW,Nicolai Jørgensen,15/01/1991,27,30,8,Feyenoord,1
Denmark,C,10,MF,Christian Eriksen,14/02/1992,26,77,21,Tottenham Hotspur,1
Denmark,C,11,FW,Martin Braithwaite,05/06/1991,27,19,1,Bordeaux,1
Denmark,C,12,FW,Kasper Dolberg,06/10/1997,20,5,1,Ajax,1
Denmark,C,13,DF,Mathias Jørgensen,23/04/1990,28,12,0,Huddersfield Town,1
Denmark,C,14,DF,Henrik Dalsgaard,27/07/1989,28,10,0,Brentford,1
Denmark,C,15,FW,Viktor Fischer,09/06/1994,23,18,3,Copenhagen,1
Denmark,C,16,GK,Jonas Lössl,01/02/1989,29,1,0,Huddersfield Town,1
Denmark,C,17,DF,Jens Stryger Larsen,21/02/1991,27,12,1,Udinese,1
Denmark,C,18,MF,Lukas Lerager,12/07/1993,24,3,0,Bordeaux,1
Denmark,C,19,MF,Lasse Schöne,27/05/1986,32,35,3,Ajax,1
Denmark,C,20,FW,Yussuf Poulsen,15/06/1994,23,27,3,RB Leipzig,1
Denmark,C,21,FW,Andreas Cornelius,16/03/1993,25,18,4,Atalanta,1
Denmark,C,22,GK,Frederik Rønnow,04/08/1992,25,6,0,Brøndby,1
Denmark,C,23,FW,Pione Sisto,04/02/1995,23,13,1,Celta Vigo,1
France,C,1,GK,Hugo Lloris (captain),26/12/1986,31,97,0,Tottenham Hotspur,1
France,C,2,DF,Benjamin Pavard,28/03/1996,22,5,0,VfB Stuttgart,1
France,C,3,DF,Presnel Kimpembe,13/08/1995,22,2,0,Paris Saint-Germain,1
France,C,4,DF,Raphaël Varane,25/04/1993,25,41,2,Real Madrid,1
France,C,5,DF,Samuel Umtiti,14/11/1993,24,18,2,Barcelona,1
France,C,6,MF,Paul Pogba,15/03/1993,25,53,9,Manchester United,1
France,C,7,FW,Antoine Griezmann,21/03/1991,27,53,20,Atlético Madrid,1
France,C,8,FW,Thomas Lemar,12/11/1995,22,11,3,Monaco,1
France,C,9,FW,Olivier Giroud,30/09/1986,31,73,31,Chelsea,1
France,C,10,FW,Kylian Mbappé,20/12/1998,19,14,3,Paris Saint-Germain,1
France,C,11,FW,Ousmane Dembélé,15/05/1997,21,11,2,Barcelona,1
France,C,12,MF,Corentin Tolisso,03/08/1994,23,8,0,Bayern Munich,1
France,C,13,MF,N'Golo Kanté,29/03/1991,27,23,1,Chelsea,1
France,C,14,MF,Blaise Matuidi,09/04/1987,31,66,9,Juventus,1
France,C,15,MF,Steven Nzonzi,15/12/1988,29,4,0,Sevilla,1
France,C,16,GK,Steve Mandanda,28/03/1985,33,27,0,Marseille,1
France,C,17,DF,Adil Rami,27/12/1985,32,35,1,Marseille,1
France,C,18,FW,Nabil Fekir,18/07/1993,24,11,2,Lyon,1
France,C,19,DF,Djibril Sidibé,29/07/1992,25,16,1,Monaco,1
France,C,20,FW,Florian Thauvin,26/01/1993,25,4,0,Marseille,1
France,C,21,DF,Lucas Hernández,14/02/1996,22,4,0,Atlético Madrid,1
France,C,22,DF,Benjamin Mendy,17/07/1994,23,6,0,Manchester City,1
France,C,23,GK,Alphonse Areola,27/02/1993,25,0,0,Paris Saint-Germain,1
Peru,C,1,GK,Pedro Gallese,23/02/1990,28,37,0,Veracruz,1
Peru,C,2,DF,Alberto Rodríguez,31/03/1984,34,58,0,Atlético Junior,1
Peru,C,3,DF,Aldo Corzo,20/05/1989,29,25,0,Universitario,1
Peru,C,4,DF,Anderson Santamaría,10/01/1992,26,3,0,Puebla,1
Peru,C,5,DF,Miguel Araujo,24/10/1994,23,7,0,Alianza Lima,1
Peru,C,6,DF,Miguel Trauco,25/08/1992,25,26,0,Flamengo,1
Peru,C,7,MF,Paolo Hurtado,27/07/1990,27,31,3,Vitória de Guimarães,1
Peru,C,8,MF,Christian Cueva,23/11/1991,26,43,8,São Paulo,1
Peru,C,9,FW,Paolo Guerrero (captain),01/01/1984,34,87,34,Flamengo,1
Peru,C,10,FW,Jefferson Farfán,26/10/1984,33,83,25,Lokomotiv Moscow,1
Peru,C,11,FW,Raúl Ruidíaz,25/07/1990,27,30,4,Morelia,1
Peru,C,12,GK,Carlos Cáceda,27/09/1991,26,4,0,Deportivo Municipal,1
Peru,C,13,MF,Renato Tapia,28/07/1995,22,22,1,Feyenoord,1
Peru,C,14,MF,Andy Polo,29/09/1994,23,16,1,Portland Timbers,1
Peru,C,15,DF,Christian Ramos,04/11/1988,29,65,3,Veracruz,1
Peru,C,16,MF,Wilder Cartagena,23/09/1994,23,3,0,Veracruz,1
Peru,C,17,DF,Luis Advíncula,02/03/1990,28,64,0,Lobos BUAP,1
Peru,C,18,FW,André Carrillo,14/06/1991,26,44,5,Watford,1
Peru,C,19,MF,Yoshimar Yotún,07/04/1990,28,72,2,Orlando City,1
Peru,C,20,FW,Edison Flores,14/05/1994,24,28,9,AaB,1
Peru,C,21,GK,José Carvallo,01/03/1986,32,6,0,UTC,1
Peru,C,22,DF,Nilson Loyola,26/10/1994,23,3,0,Melgar,1
Peru,C,23,MF,Pedro Aquino,13/04/1995,23,12,0,Lobos BUAP,1
Argentina,D,1,GK,Nahuel Guzmán,10/02/1986,32,6,0,UANL,1
Argentina,D,2,DF,Gabriel Mercado,18/03/1987,31,20,3,Sevilla,1
Argentina,D,3,DF,Nicolás Tagliafico,31/08/1992,25,4,0,Ajax,1
Argentina,D,4,DF,Cristian Ansaldi,20/09/1986,31,5,0,Torino,1
Argentina,D,5,MF,Lucas Biglia,30/01/1986,32,57,1,Milan,1
Argentina,D,6,DF,Federico Fazio,17/03/1987,31,9,1,Roma,1
Argentina,D,7,MF,Éver Banega,29/06/1988,29,62,6,Sevilla,1
Argentina,D,8,DF,Marcos Acuña,28/10/1991,26,10,0,Sporting CP,1
Argentina,D,9,FW,Gonzalo Higuaín,10/12/1987,30,71,31,Juventus,1
Argentina,D,10,FW,Lionel Messi (captain),24/06/1987,30,124,64,Barcelona,1
Argentina,D,11,MF,Ángel Di María,14/02/1988,30,94,19,Paris Saint-Germain,1
Argentina,D,12,GK,Franco Armani,16/10/1986,31,0,0,River Plate,1
Argentina,D,13,MF,Maximiliano Meza,15/12/1992,25,2,0,Independiente,1
Argentina,D,14,DF,Javier Mascherano,08/06/1984,33,143,3,Hebei China Fortune,1
Argentina,D,15,MF,Manuel Lanzini,15/02/1993,25,4,1,West Ham United,1
Argentina,D,16,DF,Marcos Rojo,20/03/1990,28,56,2,Manchester United,1
Argentina,D,17,DF,Nicolás Otamendi,12/02/1988,30,54,4,Manchester City,1
Argentina,D,18,DF,Eduardo Salvio,13/07/1990,27,9,0,Benfica,1
Argentina,D,19,FW,Sergio Agüero,02/06/1988,30,85,37,Manchester City,1
Argentina,D,20,MF,Giovani Lo Celso,09/04/1996,22,5,0,Paris Saint-Germain,1
Argentina,D,21,FW,Paulo Dybala,15/11/1993,24,12,0,Juventus,1
Argentina,D,22,MF,Cristian Pavón,21/01/1996,22,5,0,Boca Juniors,1
Argentina,D,23,GK,Willy Caballero,28/09/1981,36,3,0,Chelsea,1
Croatia,D,1,GK,Dominik Livaković,09/01/1995,23,1,0,Dinamo Zagreb,1
Croatia,D,2,DF,Šime Vrsaljko,10/01/1992,26,35,0,Atlético Madrid,1
Croatia,D,3,DF,Ivan Strinić,17/07/1987,30,42,0,Sampdoria,1
Croatia,D,4,FW,Ivan Perišić,02/02/1989,29,65,17,Inter Milan,1
Croatia,D,5,DF,Vedran Ćorluka,05/02/1986,32,98,4,Lokomotiv Moscow,1
Croatia,D,6,DF,Dejan Lovren,05/07/1989,28,38,2,Liverpool,1
Croatia,D,7,MF,Ivan Rakitić,10/03/1988,30,91,14,Barcelona,1
Croatia,D,8,MF,Mateo Kovačić,06/05/1994,24,40,1,Real Madrid,1
Croatia,D,9,FW,Andrej Kramarić,19/06/1991,26,30,8,1899 Hoffenheim,1
Croatia,D,10,MF,Luka Modrić (captain),09/09/1985,32,105,12,Real Madrid,1
Croatia,D,11,MF,Marcelo Brozović,16/11/1992,25,34,6,Inter Milan,1
Croatia,D,12,GK,Lovre Kalinić,03/04/1990,28,10,0,Gent,1
Croatia,D,13,DF,Tin Jedvaj,28/11/1995,22,11,0,Bayer Leverkusen,1
Croatia,D,14,MF,Filip Bradarić,11/01/1992,26,4,0,Rijeka,1
Croatia,D,15,DF,Duje Ćaleta-Car,17/09/1996,21,1,0,Red Bull Salzburg,1
Croatia,D,16,FW,Nikola Kalinić,05/01/1988,30,41,15,Milan,1
Croatia,D,17,FW,Mario Mandžukić,21/05/1986,32,82,30,Juventus,1
Croatia,D,18,FW,Ante Rebić,21/09/1993,24,15,1,Eintracht Frankfurt,1
